Timestep,Hydro|Reservoir_MTKK_0
0,364842.94788059999701
1,364709.72746394068236
2,364624.09347104461631
3,364584.27928470110055
4,364583.4573367346311
5,364608.55599774100119
6,364612.99549123819452
7,364597.96533017436741
8,364587.32619940402219
9,364612.98265026620356
10,364647.53517858876148
11,364682.0877069113194
12,364716.64023523387732
13,364751.19276355643524
14,364785.74529187899316
15,364820.29782020155108
16,364852.50941903109197
17,364829.27706242480781
18,364729.15985796262976
19,364563.71238628518768
20,364398.2649146077456
21,364232.81744293030351
22,364067.36997125286143
23,363901.92249957541935
24,363809.08480057289125
25,363795.4693488983321
26,363825.42509687854908
27,363855.38084485876607
28,363885.33659283898305
29,363915.29234081920004
30,363945.24808879941702
31,363975.203836779634
32,364005.15958475985099
33,364035.11533274006797
34,364065.07108072028495
35,364095.02682870050194
36,364124.98257668071892
37,364154.9383246609359
38,364184.89407264115289
39,364214.84982062136987
40,364244.80556860158686
41,364227.81804114062106
42,364146.88711717410479
43,363976.84286515432177
44,363806.79861313453875
45,363636.75436111475574
46,363473.30969941592775
47,363325.10471810074523
48,363249.12535622878931
49,363236.61393569107167
50,363262.23868899396621
51,363287.86344229686074
52,363313.48819559975527
53,363339.1129489026498
54,363364.73770220554434
55,363366.1750769049977
56,363366.36611294129398
57,363391.99086624418851
58,363417.61561954708304
59,363443.24037284997758
60,363468.86512615287211
61,363494.48987945576664
62,363520.11463275866117
63,363545.73938606155571
64,363568.79517003917135
65,363533.76304297777824
66,363442.73345861071721
67,363268.35821191361174
68,363093.98296521650627
69,362919.60771851940081
70,362745.23247182229534
71,362598.34187793039018
72,362538.58311794541078
73,362531.70379692164715
74,362556.31310264149215
75,362580.92240836133715
76,362605.53171408118214
77,362630.14101980102714
78,362654.75032552087214
79,362679.35963124071714
80,362703.96893696056213
81,362728.57824268040713
82,362753.18754840025213
83,362777.79685412009712
84,362802.40615983994212
85,362827.01546555978712
86,362851.62477127963211
87,362876.23407699947711
88,362900.84338271932211
89,362905.1382414464606
90,362821.94630684569711
91,362646.55561256554211
92,362471.1649182853871
93,362295.7742240052321
94,362148.83429171185708
95,361989.71156626369338
96,361870.38717694568913
97,361826.08056530932663
98,361817.84861222165637
99,361841.26868472486967
100,361864.68875722808298
101,361888.10882973129628
102,361911.52890223450959
103,361934.94897473772289
104,361958.3690472409362
105,361981.7891197441495
106,362005.20919224736281
107,362028.62926475057611
108,362052.04933725378942
109,362075.46940975700272
110,362098.88948226021603
111,362122.30955476342933
112,362145.72962726664264
113,362169.14969976985594
114,362133.81010956730461
115,361957.23018207051791
116,361780.65025457373122
117,361604.07032707694452
118,361427.49039958015783
119,361250.91047208337113
120,361092.48731953528477
121,360999.553869231313
122,360965.03020693949657
123,360956.31465334480163
124,360974.28990899026394
125,360978.54284654732328
126,360929.7802535755327
127,360839.8348275469034
128,360748.23749142838642
129,360712.73879632749595
130,360735.49780385289341
131,360758.25681137829088
132,360781.01581890368834
133,360803.77482642908581
134,360826.53383395448327
135,360849.29284147988074
136,360817.30609352223109
137,360685.29189958545612
138,360524.04944422101835
139,360346.80845174641581
140,360169.56745927181328
141,359992.32646679721074
142,359815.08547432260821
143,359637.84448184800567
144,359464.40447916678386
145,359315.83928825089242
146,359200.48305095883552
