Timestep,Hydro|Reservoir_MTKK_0
0,364885.9562952995766
1,364815.57454448641511
2,364786.74400244938442
3,364775.8386124863755
4,364780.45567324088188
5,364771.36667657986982
6,364709.70870085095521
7,364613.67672023922205
8,364515.49850559193874
9,364456.40598573395982
10,364452.38179661449976
11,364477.56357035972178
12,364502.7453441049438
13,364527.92711785016581
14,364553.10889159538783
15,364578.29066534060985
16,364534.72857934446074
17,364424.12702092720428
18,364266.18592548195738
19,364091.3676992271794
20,363916.54947297240142
21,363741.73124671762343
22,363566.91302046284545
23,363392.09479420806747
24,363216.34290076798061
25,363047.3249164687586
26,362903.35648851387668
27,362787.21625058253994
28,362687.68128148530377
29,362596.27309319889173
30,362468.66069722769316
31,362366.16473528993083
32,362268.66561348340474
33,362210.03173486050218
34,362181.967430530407
35,362206.21553709032014
36,362230.46364365023328
37,362254.71175021014642
38,362278.95985677005956
39,362303.2079633299727
40,362327.45606988988584
41,362286.84726223046891
42,362137.286887434253
43,361961.53499399416614
44,361785.78310055407928
45,361610.03120711399242
46,361434.27931367390556
47,361258.5274202338187
48,361081.77029883215437
49,360910.903307411063
50,360786.12601591722341
51,360712.69329448795179
52,360669.08861721213907
53,360651.80629086319823
54,360642.50684121774975
55,360647.68643158383202
56,360670.92931018216768
57,360694.17218878050335
58,360717.41506737883901
59,360740.65794597717468
60,360763.90082457551034
61,360787.14370317384601
62,360810.38658177218167
63,360833.62946037051734
64,360856.872338968853
65,360876.55051235301653
66,360811.20130714704283
67,360634.44418574537849
68,360457.68706434371416
69,360281.76333399210125
70,360116.22168477461673
71,359972.64510786230676
72,359864.98722429852933
73,359809.12726083537564
74,359786.56985704234103
75,359782.05414101370843
76,359804.50987705838634
77,359826.96561310306424
78,359825.89410335372668
79,359806.33027832448715
80,359787.22002583520953
81,359770.98138745839242
82,359757.16376290266635
83,359779.61949894734425
84,359802.07523499202216
85,359824.53097103670007
86,359846.98670708137797
87,359869.44244312605588
88,359842.40558975673048
89,359800.33260769105982
90,359688.23030443076277
91,359510.68604047544068
92,359333.14177652011858
93,359155.59751256479649
94,358983.91053650685353
95,358815.72085836069891
96,358733.32444915897213
97,358725.47049195587169
98,358747.41850420902483
99,358769.36651646217797
100,358791.31452871533111
101,358813.26254096848425
102,358835.21055322163738
103,358857.15856547479052
104,358861.41223584907129
105,358862.53674748999765
106,358884.48475974315079
107,358906.43277199630393
108,358928.38078424945707
109,358950.3287965026102
110,358972.27680875576334
111,358994.22482100891648
112,359016.17283326206962
113,359038.12084551522275
114,359013.55432650638977
115,358845.34911669918802
116,358667.29712895234115
117,358489.24514120549429
118,358319.46107799804304
119,358161.09809981146827
120,358080.98378407896962
121,358058.61505781504093
122,358079.46045705123106
123,358101.03023006190779
124,358122.60000307258451
125,358144.16977608326124
126,358165.73954909393797
127,358180.58194793347502
128,358182.48577581072459
129,358204.05554882140132
130,358225.62532183207804
131,358247.19509484275477
132,358268.7648678534315
133,358290.33464086410822
134,358311.90441387478495
135,358333.47418688546168
136,358355.0439598961384
137,358340.31181598553667
