Timestep,Hydro|Reservoir_MTKK_0
0,364830.54388500232017
1,364759.27137640415458
2,364726.8418447887525
3,364737.54603024473181
4,364758.02879619412124
5,364778.51156214351067
6,364798.9943280929001
7,364819.47709404228954
8,364839.95985999167897
9,364860.4426259410684
10,364880.92539189045783
11,364901.40815783984726
12,364921.89092378923669
13,364942.37368973862613
14,364962.85645568801556
15,364983.33922163740499
16,365003.82198758679442
17,365024.30475353618385
18,364986.11329189926619
19,364806.59605784865562
20,364627.07882379804505
21,364447.56158974743448
22,364268.04435569682391
23,364088.52712164621335
24,363908.4408265556558
25,363784.50535172730451
26,363713.08191639126744
27,363675.43148710194509
28,363656.94910868955776
29,363635.36075529444497
30,363574.45728798530763
31,363483.27223710756516
32,363401.54881142952945
33,363367.8830907511292
34,363387.79679566057166
35,363407.71050057001412
36,363427.62420547945658
37,363447.53791038889904
38,363467.45161529834149
39,363487.36532020778395
40,363496.43973694328452
41,363445.80602109362371
42,363318.21842531679431
43,363138.13213022623677
44,362958.04583513567923
45,362777.95954004512168
46,362597.87324495456414
47,362417.7869498640066
48,362236.7363196129445
49,362097.91603660746478
50,362011.73337987490231
51,361967.51050979149295
52,361943.05924587760819
53,361923.73385107528884
54,361864.68924842379056
55,361780.30083891790127
56,361699.71895575663075
57,361664.53381533815991
58,361683.48318508709781
59,361702.43255483603571
60,361721.3819245849736
61,361740.3312943339115
62,361759.2806640828494
63,361778.2300338317873
64,361797.17940358072519
65,361769.25806138437474
66,361695.42229152790969
67,361514.37166127684759
68,361333.32103102578549
69,361152.27040077472338
70,360971.21977052366128
71,360790.16914027259918
72,360632.06300484121311
73,360532.11414250015514
74,360481.39063972898293
75,360450.80288680369267
76,360444.89054377784487
77,360438.51545812765835
78,360392.21653205045732
79,360315.74905050720554
80,360243.14423998695565
81,360206.84147305804072
82,360225.43645759340143
83,360244.03144212876214
84,360262.62642666412285
85,360281.22141119948355
86,360299.81639573484426
87,360318.41138027020497
88,360322.58004432392772
89,360278.87725447956473
90,360182.20757568866247
91,360000.80256022402318
92,359819.39754475938389
93,359637.9925292947446
94,359456.58751383010531
95,359275.18249836546602
96,359119.23879167577252
97,359034.51190576551016
98,358997.89777572045568
99,358994.05071882129414
100,359012.44125104590785
101,359030.83178327052156
102,359002.10981542093214
103,358939.83893118228298
104,358867.21281691314653
105,358829.87297080410644
106,358848.26350302872015
107,358866.65403525333386
108,358885.04456747794757
109,358903.43509970256127
110,358921.82563192717498
111,358940.21616415178869
112,358958.6066963764024
113,358963.91925690637436
114,358888.52378841012251
115,358706.91432063473621
116,358525.30485285934992
117,358343.69538508396363
118,358162.08591730857734
119,357980.47644953319104
120,357878.55638479086338
121,357839.11451713670976
122,357828.30639576900285
123,357838.9460460524424
124,357857.115087194019
125,357875.2841283355956
126,357845.71619925100822
127,357771.3645081355935
128,357697.02810008270899
129,357641.08396524225827
130,357644.85014188918285
131,357663.01918303075945
132,357681.18822417233605
133,357699.35726531391265
134,357717.52630645548925
135,357735.69534759706585
136,357746.01514174049953
137,357699.66502867697272
138,357607.33878969750367
139,357425.50783083908027
140,357243.67687198065687
141,357061.84591312223347
142,356900.58303878031438
143,356765.94547853840049
144,356700.67935068503721
145,356664.07681950024562
146,356658.26298782374943
147,356669.21502614120254
148,356687.01605286623817
149,356704.8170795912738
150,356722.61810631630942
151,356740.41913304134505
152,356758.22015976638068
153,356776.0211864914163
154,356793.82221321645193
155,356811.62323994148755
156,356829.42426666652318
157,356847.22529339155881
158,356865.02632011659443
159,356882.82734684163006
160,356900.62837356666569
161,356918.42940029170131
162,356936.23042701673694
163,356798.78651898977114
164,356618.2232244790066
165,356438.94213788118213
166,356261.34917939006118
167,356083.0746582467691
168,355955.52343561092857
169,355914.35583322017919
170,355905.93907194281928
171,355923.56631304649636
172,355941.19355415017344
173,355958.82079525385052
174,355976.4480363575276
175,355994.07527746120468
176,356011.70251856488176
177,356029.32975966855884
178,356046.95700077223592
179,356064.58424187591299
180,356082.21148297959007
181,356099.83872408326715
182,356117.46596518694423
183,356135.09320629062131
184,356152.72044739429839
