Timestep,Hydro|Reservoir_MTKK_0
0,364856.24859496747376
1,364769.38233474543085
2,364735.02458452648716
3,364724.86196497961646
4,364722.54331551952055
5,364721.08928874012781
6,364683.24573005991988
7,364664.82265105441911
8,364631.52925566374324
9,364603.28606514318381
10,364608.71558139455738
11,364637.87055372394389
12,364667.0255260533304
13,364696.18049838271691
14,364725.33547071210342
15,364754.49044304148993
16,364783.64541537087644
17,364812.80038770026295
18,364766.05300912959501
19,364595.20798145898152
20,364424.36295378836803
21,364253.51792611775454
22,364097.75226939818822
23,363926.90724172757473
24,363760.41368345974479
25,363674.01551973749883
26,363633.09960138064343
27,363637.03585598763311
28,363661.08157461299561
29,363689.53800134110497
30,363717.99442806921434
31,363746.4508547973237
32,363774.90728152543306
33,363803.36370825354243
34,363831.82013498165179
35,363860.27656170976115
36,363888.73298843787052
37,363917.18941516597988
38,363945.64584189408924
39,363974.10226862219861
40,364002.55869535030797
41,364031.01512207841733
42,364001.55587984476006
43,363832.16880030446919
44,363660.62522703257855
45,363489.08165376068791
46,363317.53808048879728
47,363145.99450721690664
48,362981.84606299229199
49,362839.8046269712504
50,362748.25343181448989
51,362700.89080876222579
52,362692.98743846855359
53,362690.16408062254777
54,362644.62088841444347
55,362572.11210737744113
56,362494.11257241695421
57,362467.30349793832283
58,362495.3510174487601
59,362523.39853695919737
60,362551.44605646963464
61,362579.49357598007191
62,362607.54109549050918
63,362635.58861500094645
64,362620.15594054374378
65,362536.97403267939808
66,362388.76495349808829
67,362216.81247300852556
68,362044.85999251896283
69,361872.9075120294001
70,361700.95503153983736
71,361529.00255105027463
72,361371.90362124587409
73,361278.62380580930039
74,361242.27313935209531
75,361228.93563630158314
76,361220.80396097857738
77,361217.75229810323799
78,361176.84174802014604
79,361113.61675246426603
80,361052.03728710510768
81,361040.63988949428312
82,361068.45910397538682
83,361096.27831845649052
84,361124.09753293759422
85,361151.91674741869792
86,361179.73596189980162
87,361207.55517638090532
88,361156.25764536840143
89,361018.79058977833483
90,360863.47051408904372
91,360691.28972857014742
92,360519.10894305125112
93,360346.92815753235482
94,360174.74737201345852
95,360002.56658649456222
96,359837.1846604134189
97,359705.4482126882649
98,359627.82186009129509
99,359592.65615324716782
100,359594.79390056792181
101,359612.28383397415746
102,359601.75963098916691
103,359570.65703508653678
104,359549.90017829195131
105,359577.47745724272681
106,359605.05473619350232
107,359632.63201514427783
108,359660.20929409505334
109,359687.78657304582885
