Timestep,Hydro|Reservoir_MTKK_0
0,364821.01775074296165
1,364653.40709059196524
2,364524.46322322130436
3,364424.92055398836965
4,364362.55015964829363
5,364314.28532424499281
6,364231.80282523820642
7,364135.7024547153851
8,364049.27426915417891
9,363997.33171481982572
10,364018.34946556278737
11,364039.36721630574903
12,364060.38496704871068
13,364081.40271779167233
14,364102.42046853463398
15,364123.43821927759564
16,364099.6768169751158
17,364021.77452272782102
18,363868.71693051443435
19,363689.73468125739601
20,363510.75243200035766
21,363331.77018274331931
22,363152.78793348628096
23,362973.80568422924262
24,362844.90617677289993
25,362784.68686196376802
26,362770.25012543116463
27,362790.12650764867431
28,362810.30940909049241
29,362830.49231053231051
30,362844.69322321587242
31,362822.22518018027768
32,362793.00152340199566
33,362783.29350515455008
34,362803.47640659636818
35,362823.65930803818628
36,362843.84220948000439
37,362864.02511092182249
38,362884.20801236364059
39,362904.39091380545869
40,362892.84472710540285
41,362805.55808069289196
42,362637.88452346134
43,362458.0674249031581
44,362278.2503263449762
45,362098.4332277867943
46,361918.61612922861241
47,361738.79903067043051
48,361569.33474408852635
49,361458.18864982598461
50,361399.02267465938348
51,361372.26132280722959
52,361384.86577241896885
53,361404.30582848523045
54,361407.43742464768002
55,361426.87748071394162
56,361446.31753678020323
57,361465.75759284646483
58,361485.19764891272644
59,361504.63770497898804
60,361524.07776104524964
61,361543.51781711151125
62,361562.95787317777285
63,361582.39792924403446
64,361601.83798531029606
65,361619.96443698136136
66,361512.1840796690667
67,361331.62413573532831
68,361151.06419180158991
69,360970.50424786785152
70,360789.94430393411312
71,360609.38436000037473
72,360428.09860816528089
73,360282.30682329280535
74,360205.1310692114057
75,360192.72898788080784
76,360207.84945986542152
77,360226.56370803032769
78,360245.27795619523386
79,360263.99220436014002
80,360282.70645252504619
81,360301.42070068995235
82,360320.13494885485852
83,360338.84919701976469
84,360357.56344518467085
85,360376.27769334957702
86,360394.99194151448319
87,360413.70618967938935
88,360432.42043784429552
89,360451.13468600920169
90,360389.20972785470076
91,360207.92397601960693
92,360028.03816278360318
93,359846.75241094850935
94,359665.46665911341552
95,359484.18090727832168
96,359316.10673627298092
97,359223.44199311680859
98,359186.31831133383093
99,359176.14575647609308
100,359194.51243596989661
101,359204.01860345562454
102,359173.88526588800596
103,359106.03173737315228
104,359030.22613602958154
105,358992.37673818261828
106,359010.74341767642181
107,359029.11009717022534
108,359047.47677666402888
109,359065.84345615783241
110,359084.21013565163594
111,359102.57681514543947
112,359120.943494639243
113,359139.31017413304653
114,359151.75137027143501
115,359001.87484620336909
116,358833.86307401623344
117,358669.71320090338122
118,358531.60597868671175
119,358412.47067453508498
120,358368.69858074863441
121,358360.92475308472058
122,358376.27893971418962
123,358393.92321829200955
124,358411.56749686982948
125,358429.21177544764942
126,358394.52700072940206
127,358319.08578995690914
128,358244.02481987443753
129,358208.62267756002257
130,358226.2669561378425
131,358243.91123471566243
132,358261.55551329348236
133,358279.1997918713023
134,358296.84407044912223
135,358314.48834902694216
136,358332.13262760476209
137,358336.61118957359577
138,358291.65185001812642
139,358109.29612859594636
140,357926.94040717376629
141,357744.58468575158622
142,357562.22896432940615
143,357379.87324290722609
144,357221.81299578479957
145,357116.75823360134382
146,357065.52489488566061
147,357046.71958197734784
148,357063.94473240576917
149,357081.1698828341905
150,357060.23655757051893
151,357003.62179342214949
152,356941.89026270312024
153,356902.19030089431908
154,356910.83214960206533
155,356928.05730003048666
156,356945.28245045890799
157,356962.50760088732932
158,356979.73275131575065
159,356996.95790174417198
160,357014.18305217259331
161,357031.40820260101464
162,357045.11368159053382
163,356896.63632868602872
164,356713.86147911445005
165,356531.3952014655224
166,356389.71341347269481
167,356288.0016532583395
168,356256.78820051753428
169,356269.73079715919448
170,356286.79238548188005
171,356303.85397380456561
172,356320.91556212725118
173,356337.97715044993674
