Timestep,Hydro|Reservoir_MTKK_0
0,364869.41084894351661
1,364788.68935838830657
2,364749.01124141435139
3,364722.2244040761143
4,364716.62198281788733
5,364720.66406858118717
6,364694.09404024569085
7,364656.1827676036628
8,364625.16772837640019
9,364638.70319293404464
10,364657.99672436871333
11,364677.29025580338202
12,364696.58378723805072
13,364715.87731867271941
14,364735.17085010738811
15,364754.4643815420568
16,364773.75791297672549
17,364754.44228000601288
18,364665.49234385212185
19,364484.78587528679054
20,364304.07940672145924
21,364123.37293815612793
22,363942.66646959079662
23,363761.96000102546532
24,363653.26586320233764
25,363616.81878103472991
26,363618.32747054082574
27,363635.25671893515391
28,363645.87943713989807
29,363642.8333234153688
30,363593.94202937954105
31,363515.42935547832167
32,363438.2167339384323
33,363400.2183604357997
34,363419.30403128848411
35,363438.38970214116853
36,363457.47537299385294
37,363476.56104384653736
38,363495.64671469922177
39,363514.73238555190619
40,363533.81805640459061
41,363489.93238458147971
42,363363.48585761123104
43,363182.57152846391546
44,363001.65719931659987
45,362820.74287016928429
46,362639.8285410219687
47,362458.91421187465312
48,362318.15118771238485
49,362241.67023147922009
50,362205.95969421300106
51,362206.68092790996889
52,362225.55873947875807
53,362244.43655104754725
54,362242.02813320152927
55,362223.60233881033491
56,362208.41728191339644
57,362223.82336424168898
58,362242.70117581047816
59,362261.57898737926735
60,362280.45679894805653
61,362299.33461051684571
62,362318.2124220856349
63,362337.09023365442408
64,362355.96804522321327
65,362374.84585679200245
66,362332.78530396620044
67,362151.66311553498963
68,361970.54092710377881
69,361789.418738672568
70,361608.29655024135718
71,361427.17436181014637
72,361317.30330536537804
73,361266.09172280848725
74,361240.35684926429531
75,361225.56795149075333
76,361228.06289214146091
77,361233.3386528819683
78,361209.25453138462035
79,361164.452946507663
80,361103.0309191486449
81,361065.71824964083498
82,361084.39160760078812
83,361103.06496556074126
84,361121.73832352069439
85,361140.41168148064753
86,361159.08503944060067
87,361177.7583974005538
88,361196.43175536050694
89,361215.10511332046008
90,361164.4371833615005
91,360983.11054132145364
92,360801.78389928140678
93,360624.29721478320425
94,360488.93459729477763
95,360369.96200027130544
96,360318.65750973322429
97,360299.95144892239477
98,360303.30354270106182
99,360309.38425008789636
100,360327.42255888594082
101,360345.86761181656038
102,360363.5122526557534
103,360381.95730558637297
104,360400.40235851699254
105,360418.8474114476121
106,360437.29246437823167
107,360455.73751730885124
108,360474.18257023947081
109,360492.62762317009037
110,360511.07267610070994
111,360529.51772903132951
112,360547.96278196194908
113,360566.40783489256864
114,360537.52277446241351
115,360355.96782739303308
116,360174.41288032365264
117,359992.85793325427221
118,359811.30298618489178
119,359629.74803911551135
120,359465.15643037261907
121,359396.59084153204458
122,359358.07685642613797
123,359353.86648818117101
124,359357.85422043304425
125,359365.22687326237792
126,359375.11370536178583
127,359393.09873865218833
128,359411.08377194259083
129,359429.06880523299333
130,359447.05383852339583
131,359465.03887181379832
132,359483.02390510420082
133,359501.00893839460332
134,359518.99397168500582
135,359536.97900497540832
136,359554.96403826581081
137,359572.94907155621331
138,359590.93410484661581
139,359425.50508259620983
140,359261.37718542135553
141,359079.80001424992224
142,358902.82115900726058
143,358746.12181520956801
144,358638.00973876664648
145,358600.30264143669046
146,358617.88217707874719
147,358635.46171272080392
148,358653.04124836286064
149,358670.62078400491737
150,358688.20031964697409
151,358705.77985528903082
152,358723.35939093108755
153,358740.93892657314427
154,358758.518462215201
155,358776.09799785725772
156,358793.67753349931445
157,358811.25706914137118
158,358828.8366047834279
159,358846.41614042548463
160,358863.99567606754135
161,358880.12013121665223
162,358802.99479771975894
163,358620.57433336181566
164,358438.15386900387239
165,358255.73340464592911
166,358089.54854164383141
167,357954.07502456771908
168,357815.12336629861966
169,357741.537516000506
170,357701.50823224353371
171,357686.44464638252975
172,357696.58351483440492
173,357713.7098460928537
174,357694.15362274664221
175,357660.12400151061593
176,357635.57899700116832
177,357652.70532825961709
178,357669.83165951806586
179,357686.95799077651463
180,357704.08432203496341
181,357721.21065329341218
182,357738.33698455186095
183,357755.46331581030972
184,357772.5896470687585
185,357789.71597832720727
186,357743.3366790105938
187,357560.46301026904257
188,357377.58934152749134
189,357194.71567278594011
190,357011.84200404438889
191,356848.21308942121686
192,356772.83784224686678
193,356735.20540753897512
194,356708.99781233054819
195,356689.54750438744668
196,356693.00215141830267
197,356701.20046604488743
198,356672.14835488417884
199,356633.01671940495726
200,356600.45922858337872
201,356617.38110753108049
202,356634.30298647878226
203,356651.22486542648403
204,356668.1467443741858
205,356685.06862332188757
206,356701.99050226958934
207,356718.91238121729111
208,356735.83426016499288
209,356720.01606810552767
210,356614.63401870714733
211,356431.5558976548491
212,356248.47777660255088
213,356065.39965555025265
214,355882.32153449795442
215,355699.24341344565619
216,355560.50514307344565
217,355485.02651648729807
218,355443.42581085138954
219,355420.74269150773762
220,355431.45397829980357
221,355448.18844241090119
222,355422.10676806466654
223,355377.03555669047637
224,355340.55822090402944
